No,E.Coli,Coliform,Arsen (As),Total Kromium (Cr-T),Kadmium (Cd),Nitrit (NO2-N),Nitrat (NO3-N),Selenium (Se),Alumunium (Al),pH,Sulfat (SO4),Tembaga (Cu),Padatan Terlarut Total (TDS),Kekeruhan,Kelayakan
2914,"0,83","0,83","0,1","0,06","0,08","1,93","8,61","0,04","0,1","4,931958445","326,0765603","1,21","293,8334657","5,184441995",2
2915,"0,21","0,21","0,09","0,02","0,08","2,32","5,16","0,06","0,01","8,828094375","333,0524907","1,74","327,2895434","2,798600948",2
2916,"0,25","0,25","0,09","0,07","0,1","1,81","9,3","0,1","0,08","5,849778285","361,0093107","0,62","492,7034162","4,23510812",2
2917,"0,15","0,15","0,07","0,06","0,09","0,17","13,97","0,01","0,01","7,417502637","328,5039211","1,38","399,6725564","3,132253296",2
2918,0,0,"0,009041777145","0,01939953874","0,002165963319","0,3","7,51","0,004867093342","0,1021187095","7,147796432","30,39050643","0,05","104,4435448","2,362897826",1
2919,0,0,"0,03","0,53","0,006","1,96","11,36","0,09","0,8","7,62349992","293,8250078","0,96","368,359984","3,643815888",2
2920,0,0,"0,007569802041","0,03592722079","0,002418653764","0,14","8,32","0,001826747674","0,1877472837","7,664679146","22,66658563","0,09","189,797704","0,6829035434",1
2921,0,0,"0,005978707449","0,04622772066","0,0006379538638","0,05","17,53","0,003361392756","0,05473100966","7,566945992","3,467184422","1,22","253,7877674","1,964115442",1
2922,0,0,"0,02","0,07","0,09","0,35","11,76","0,1","0,1","3,717703935","279,7580696","0,01","343,2655565","4,240031708",2
2923,0,0,"0,007668311526","0,01335961063","0,000329773358","0,87","18,01","0,007891848874","0,1822516023","6,714202585","18,80158012","0,02","175,7927646","1,740933218",1
2924,0,0,"0,001583538856","0,03510653154","0,002384297878","0,13","3,63","0,005109984439","0,1533491908","8,143770898","16,23273394","0,36","158,186805","1,664919906",1
2925,0,0,"0,009912850503","0,01334515168","0,0002496742592","1,45","1,99","0,009823332951","0,02450440194","7,65460063","35,89078104","1,13","55,47435309","1,09417725",1
2926,"0,75","0,75","0,07","0,07","0,04","1,66","7,08","0,07","0,09","6,418203057","350,0002357","1,89","527,9125436","3,425763242",2
2927,0,0,"0,14","0,58","0,06","1,8","2,4","0,09","3,11","8,73352533","370,3263498","0,74","317,3492443","4,534960273",2
2928,0,0,"0,009082166989","0,03392889185","0,001594757273","0,97","2,09","0,008296742614","0,1535791216","7,92539769","20,17333164","0,09","90,68541601","4,384166666",1
2929,"0,02","0,02","0,005382074681","0,029035818","0,002989013278","1,82","16,23","0,001778617933","0,1839576482","7,585714665","27,42453005","0,99","282,1679932","0,7405017091",1
2930,0,0,"0,001886250015","0,0312926443","0,002277376085","0,83","7,08","0,008714062204","0,1953017056","7,259184219","8,702303723","0,03","175,0741922","4,02422682",1
2931,0,0,0,"0,08","0,09","0,61","11,36","0,09","0,01","7,397650663","359,7013518","0,06","356,294341","5,255011943",2
2932,0,0,"0,007423340569","0,01935190846","0,001966339276","2,18","17,43","0,009012786992","0,05377257158","7,118643463","27,43049892","1,03","165,4136645","2,355002974",1
2933,0,0,"0,00340608381","0,02035746025","0,002527709422","0,6","0,14","0,002044172139","0,09203563609","8,331833828","35,07672334","0,02","151,2740074","1,855353624",1
2934,"0,09","0,09","0,03","0,35","0,002","1,63","10,99","0,06","3,36","9,868877881","394,092424","1,37","389,2927845","4,134942729",2
2935,"0,21","0,21","0,23","0,17","0,05","1,34","1,13","0,03","0,12","5,141506877","351,1613311","0,79","607,0265423","3,864931035",2
2936,"0,52","0,52","0,08","0,03","0,04","2,09","8,39","0,06","0,07","7,819659154","359,9517664","1,45","596,7510259","2,887022939",2
2937,0,0,"0,05","0,1","0,09","0,86","7,09","0,07","0,07","7,871961403","365,3011352","0,01","269,3446352","2,496342612",2
2938,"0,21","0,21","0,04","0,76","0,001","1,24","15,35","0,01","3,25","8,842463656","368,387038","1,45","485,2544296","3,561962572",2
2939,"0,42","0,42","0,001","0,26","0,001","1,07",4,"0,02","0,02","9,537878629","322,5165819","1,28","427,182531","5,247130149",2
2940,"0,22","0,22","0,05","0,47","0,001","1,73","16,23","0,07","0,02","6,466874709","419,8811751","0,1","518,3755726","3,62463525",2
2941,"0,81","0,81","0,03","0,09","0,09","1,86","10,32","0,07","0,02","10,49074403","358,589903","1,72","281,0850323","4,343041373",2
2942,0,0,"0,03","0,56","0,002","1,56","8,47","0,02","0,94","7,061830972","341,5626733","1,03","370,2898377","3,762222689",2
2943,0,0,"0,008717742553","0,0293021361","0,002374886958","0,23","2,16","0,002440208455","0,1380253138","8,209646354","16,74542078","0,06","80,45561431","0,5499195766",1
2944,"0,99","0,99","0,08","0,04","0,03","0,4","11,56",0,"0,06","8,389945659","313,8469725","1,37","479,0323203","3,055790475",2
2945,0,0,"0,00892923008","0,02765489179","0,001106159966","0,8","17,75","0,007763438726","0,0918608938","6,667483353","9,592735174","0,08","222,1601636","3,453165168",1
2946,"0,42","0,42","0,07","0,09","0,04","1,45","0,49","0,05","0,02","5,596929951","315,4049171","0,61","316,2780291","4,055421251",2
2947,"0,05","0,05","0,004900330031","0,01200332804","0,00215479639","1,46","7,08","0,003472551041","0,1046391972","7,408842537","29,1334591","0,08","103,6216561","4,514682721",1
2948,"0,64","0,64","0,01","0,04","0,04","1,16","13,37","0,07","0,03","8,099124189","312,9190444","0,46","347,4644191","3,789195951",2
2949,"0,04","0,04","0,03","0,88","0,009","1,35","0,34","0,09","0,07","6,906574998","316,8202484",0,"435,2347266","2,959749614",2
2950,"0,74","0,74","0,03","0,19","0,002","1,01","1,51","0,01","0,14","9,45993051","400,3735263","0,68","446,8406051","3,672975983",2
2951,0,0,"0,007682605111","0,02970210406","0,002312974932","0,71","5,81","0,006388622867","0,1482410749","7,098395306","31,14604627","1,27","258,4638276","3,156507717",1
2952,"0,89","0,89","0,001","0,08","0,007","1,61","2,29","0,01","0,01","6,580043295","316,391974","1,55","362,2172579","3,8549399",2
2953,0,0,"0,81","0,62","0,04","1,83","19,52","0,1","2,41","8,447404488","328,2979468","1,88","521,320673","2,778905951",2
2954,"0,55","0,55","0,01","0,18","0,002","1,51","18,01","0,04","2,54","9,462666017","391,6973848","1,93","451,143481","3,972255856",2
2955,0,0,"0,002690119406","0,0218512173","0,0008477281626","0,22","12,61","0,00236906486","0,1228522929","8,377857494","35,01269117","0,09","248,430193","4,541525829",1
2956,"0,75","0,75","0,04","0,05","0,06","1,13","8,99","0,09","0,04","5,174345998","409,4467298","0,95","442,1042076","3,958543451",2
2957,"0,12","0,12","0,01","0,09","0,1","1,27","17,29","0,09","0,01","7,920794564","316,9594896","1,35","445,0612309","4,590527649",2
2958,"0,04","0,04","0,6","0,82","0,11","2,29","15,21","0,03","0,03","7,611982389","303,7024092","1,57","446,3864036","3,906526285",2
2959,0,0,"0,09","0,04","0,01","0,17","1,9","0,01","0,06","6,30497166","349,9495296","0,04","369,3381209","3,762615331",2
2960,0,0,"0,84","0,18","0,12","1,85","6,67","0,1","3,96","7,24019447","307,9549023","1,06","348,8435757","3,04829206",2
2961,"0,44","0,44","0,03","0,35","0,002","1,54","10,49","0,08","0,09","4,762828659","327,5517887","1,02","364,7010954","4,710936484",2
2962,0,0,"0,02","0,09","0,01","0,83","7,08","0,07","0,04","5,470981822","335,9701137","0,03","370,0851534","4,006424839",2
2963,0,0,"0,01","0,34","0,009",1,"17,16","0,09","0,42","8,154840855","235,7709819","0,07","421,3437362","3,958248504",2
2964,0,0,0,"0,08","0,03",2,"9,93","0,03","0,03","6,334162776","359,7013518","0,8","459,0784198","2,96418135",2
2965,"0,89","0,89",0,"0,07",0,"1,66","13,11","0,02","0,01","5,735358659","311,553679","1,94","259,9637626","3,506502994",2
2966,0,0,"0,03","0,08","0,01","0,17","8,99","0,02","0,02","6,934310583","441,8267766","0,04","349,2096228","3,994556136",2
2967,"0,15","0,15","0,01","0,18","0,002","1,79","6,67","0,1","3,91","6,529304448","306,6473845","1,06","504,0505391","2,962852429",2
2968,"0,89","0,89","0,56","0,81","0,02","2,39","18,07","0,01","0,39","3,148712285","321,5677645","0,07","417,1252097","4,59634734",2
2969,"0,14","0,14","0,13","0,04","0,01","2,04","12,37","0,03","3,8","7,614877639","259,3733218","0,36","393,877683","2,499910135",2
2970,0,0,"0,009394863758","0,04430396348","0,00123910117","0,11","0,21","0,005469660558","0,1172037965","8,419831608","12,58451494","0,01","148,6622151","3,309885393",1
2971,0,0,"0,002691709317","0,02673514235","0,001956321089","0,73","7,05","0,002840912845","0,08523877173","8,124297741","2,688870289","0,07","214,4077227","2,153611358",1
2972,"0,04","0,04","0,008325046707","0,02810505938","0,001696132159","1,67","1,58","0,006270568155","0,08175895832","8,069003434","23,24070349","0,08","117,891992","2,417283884",1
2973,0,0,"0,009631968592","0,02902247745","0,001534927692","1,94","17,24","0,00308925561","0,1495422987","7,627110353","17,9611421","0,25","82,71749119","4,896007565",1
2974,"0,74","0,74","0,01",0,"0,09","2,04","12,38","0,06","0,05","7,833970824","330,1278686","0,89","406,2451288","3,163935937",2
2975,0,0,"0,007810937037","0,03560871573","0,002880841849","1,59","10,87","0,001834808842","0,07423209804","7,664638999","8,281273216","0,03","242,9721885","2,66865813",1
2976,"0,21","0,21","0,72","0,02","0,09","2,3","9,54","0,08","0,2","8,383761691","352,316182","0,05","395,4070038","4,998203435",2
2977,"0,19","0,19","0,08","0,04","0,03","1,68","13,37","0,01","0,01","7,511816641","342,4983613","0,77","300,9334915","3,544751521",2
2978,0,0,"0,003210023168","0,048172327","0,002544302617","1,84","14,21","0,003376051222","0,07665658922","7,47530797","33,33262876","1,14","274,2835636","4,703180537",1
2979,"0,05","0,05","0,35","0,52","0,03","1,47","7,38","0,03","0,02","7,296037734","329,1196851","0,05","503,8430011","3,357439471",2
2980,0,0,"0,08","0,07","0,02","0,64","10,59","0,08","0,02","7,874671358","330,7896948","1,38","418,4535907","3,439561019",2
2981,0,0,"0,11","0,37","0,05","1,42","1,37","0,08","2,95","7,499844232","350,9515814","1,39","317,5833671","3,904063423",2
2982,"0,1","0,1","0,03","0,04","0,05","1,08","11,23",0,"0,09","8,684778672","371,4716905","1,16","534,1302716","4,613842848",2
2983,0,0,"0,03","0,04","0,07","1,88","6,75","0,04","0,08","10,50378654","338,293868","0,12","483,6580284","3,551568013",2
2984,"0,14","0,14",0,"0,09",0,"0,09","12,34","0,03","0,04","3,433874059","333,0733642","0,36","526,4241709","4,962329207",2
2985,0,0,"0,002175852486","0,02775607467","0,0005198614951","1,67","14,07","0,007702503225","0,03747392266","7,373590433","25,93109532","1,5","287,1140976","1,777558677",1
2986,0,0,"0,03","0,08","0,07","0,99","17,66","0,1","0,1","7,528980405","322,0904652","0,01","424,2094003","4,752451739",2
2987,"0,93","0,93","0,02","0,34","0,007","1,49","5,03","0,06","0,15","8,849702725","316,9730031","0,98","395,6985382","4,286478967",2
2988,"0,7","0,7","0,04","0,88","0,006","1,67","9,24","0,07","1,08","5,171434094","325,9336794","0,49","407,3750465","3,674225442",2
2989,0,0,"0,002859590054","0,01273381808","0,002838770153","0,94","13,07","0,00475254195","0,1970079696","7,25178155","16,55011979","0,04","227,4865594","0,4834435606",1
2990,"0,52","0,52","0,02","0,59","0,009","1,45","8,05","0,06","0,02","9,734619708","351,0644584","1,45","372,6235293","3,407349428",2
2991,"0,42","0,42",0,"0,01","0,06","0,73","4,21","0,02","0,09","6,071183422","296,2388769","1,28","503,1121474","4,038983502",2
2992,"0,82","0,82","0,36","0,54","0,07","1,59","17,89","0,01","0,11","5,189413669","279,7768565","0,28","459,89989","3,031364369",2
2993,"0,73","0,73","0,03","0,37","0,008","1,86","12,09","0,06","0,07","8,550427815","342,0291152","1,11","561,7611561","2,820927249",2
2994,0,0,"0,19","0,61","0,04","2,12","16,59",0,"4,1","9,497261163","374,0727721","1,33","371,579634","2,966945651",2
2995,0,0,"0,00724276297","0,0168308487","0,001401254536","1,27","18,28","0,00400690341","0,08075666672","7,120503812","7,82954001","0,15","145,2516171","4,141397885",1
2996,0,0,"0,008179513725","0,02780281493","0,002245490864","0,62","11,67","0,008982650561","0,01197517704","6,768308597","21,46919366","1,34","243,6606716","2,369189614",1
2997,"0,61","0,61","0,01","0,7","0,001","1,27","11,75","0,05","0,14","9,012100313","416,9491943","1,32","503,96411","4,969149725",2
2998,0,0,"0,004694305488","0,0485104556","0,001489176303",1,"17,16","0,003134658573","0,1353480268","7,267602099","3,378400864","0,07","279,3599185","0,9857484788",1
2999,0,0,"0,01","0,11","0,004","1,37","4,27","0,02","4,1","7,296572875","305,5337841","0,86","480,4723059","5,707192759",2
3000,0,0,"0,07","0,08","0,04","2,32","6,87","0,01","0,03","6,217579612","319,9515926","1,14","337,7135686","4,4110576",2
3001,"0,19","0,19","0,001","0,84","0,006","1,22","2,09","0,01","0,27","6,039823242","377,4557124","0,85","538,620787","3,078672724",2
3002,0,0,"0,05","0,2","0,002","1,84","10,83","0,03","0,23","8,159666704","381,7618836","0,07","404,460052","3,437946395",2
3003,0,0,"0,02","0,27","0,004","1,58","11,7","0,07","1,99","5,473603398","311,6801658","0,2","444,5601085","2,80042812",2
3004,0,0,"0,009309251202","0,02982614115","0,002763387723","0,8","6,92","0,009674366448","0,1052260483","8,073014767","39,76200391","0,08","290,7312692","3,567912375",1
3005,0,0,"0,04","0,09","0,03","1,69","10,37","0,06","0,04","9,961503137","357,9443268","0,36","420,7095912","4,963535103",2
3006,0,0,"0,05","0,05","0,06","0,78","0,46","0,05","0,04","7,904053371","285,2189427","1,18","526,3610816","3,986882335",2
3007,"0,16","0,16","0,79","0,75","0,07","1,78","13,71","0,08","0,28","6,652824348","320,1021726","0,08","295,6751366","3,642289214",2
3008,0,0,"0,006705131187","0,01935181546","0,001535279948","0,75","0,91","0,005587731493","0,181707192","7,300271179","37,10484013","1,44","132,7229729","1,992130312",1
3009,"0,35","0,35","0,04","0,01","0,007","1,84","9,23","0,06","0,07","7,413288341","455,4512337","0,7","377,6189451","3,686074473",2
3010,"0,31","0,31","0,02","0,05","0,09","1,96","17,85","0,05","0,01","9,079715109","300,697128","1,8","364,9564913","3,422110475",2
3011,0,0,"0,09","0,06","0,02","1,64","0,81","0,02","0,09","7,301903491","319,4634909","0,09","406,3404245","2,842470708",2
3012,0,0,0,"0,08","0,03","1,33","1,61","0,02","0,09","8,064652809","299,7867108",0,"493,8554892","2,941555123",2
3013,0,0,"0,004912444498","0,02535339459","0,001665613693","0,86","12,49","0,006752820141","0,09317259521","7,188865412","3,841065928","0,37","186,0167039","1,450147809",1
3014,"0,83","0,83","0,05","0,03","0,03","1,47","10,49","0,09","0,03","7,702183099","334,6448874","0,78","384,5977112","4,827527398",2
3015,"0,74","0,74",0,"0,03","0,01","1,82","7,86","0,07","0,04","9,581188523","350,535418","1,5","274,6605966","2,460464867",2
3016,0,0,"0,001","0,34","0,002","1,9","15,37","0,08","4,33","5,484151254","333,43957","0,71","450,8960526","2,897292531",2
3017,0,0,"0,003945309584","0,03751264315","0,001444414967","1,9","14,24","0,005626768502","0,1840656778","8,290295926","31,88919036","0,82","222,7549937","4,328939188",1
3018,"0,23","0,23","0,001","0,43","0,001","1,8","1,67","0,1","0,02","5,290004371",129,"1,22","313,0915196","4,320683961",2
3019,0,0,"0,06","0,01","0,03","1,85","14,4","0,04","0,07","10,5779305","340,3903784","1,2","587,8415806","4,297913886",2
3020,"0,82","0,82","0,02","0,21","0,003","1,29","16,88","0,05","0,01","3,854617678","313,8746839","0,03","512,4287308","3,446401194",2
3021,0,0,"0,003844209182","0,04581944101","0,002995324871","1,67","4,08","0,001147441961","0,05432346952","6,834338561","23,79655691","1,88","116,8836855","0,3116226537",1
3022,0,0,"0,01","0,09","0,007","1,88","16,44","0,07","4,27","4,797460182","299,797515",0,"375,0282225","4,333636278",2
3023,"0,25","0,25",0,"0,04","0,06","1,48","0,88","0,06","0,02","5,842754601","327,5517887","0,41","500,1692103","4,571127866",2
3024,0,0,"0,05","0,38","0,003","1,85","4,85","0,07","2,17","8,27579563","339,8290139","0,16","305,834487","3,932804334",2
3025,"0,55","0,55","0,03","0,09","0,06","1,6","9,42","0,08","0,01","7,058866081","344,4423937","1,51","457,5204429","1,64151501",2
3026,"0,61","0,61","0,09","0,01",0,"1,72","3,28","0,03","0,1","10,48560365","306,8002861","0,67","427,2167645","3,313199022",2
3027,"0,38","0,38","0,01","0,24","0,004","1,61","3,15","0,02","0,03","9,186453377","316,5414683","0,66","433,4446652","3,082080496",2
3028,"0,35","0,35","0,02","0,08","0,05","1,2","8,62","0,06","0,08","9,158445163","320,7993822","0,93","468,6029981","4,888061137",2
3029,"0,39","0,39","0,05","0,85","0,005","1,66","4,94","0,03","4,35","5,38984593","348,3523741","0,99","320,6678654","3,830698864",2
3030,0,0,"0,001064235241","0,0212953149","0,002357639882","0,88","9,41","0,005209906371","0,1629009997","6,901693457","15,7642058","0,06","262,3836866","2,694219022",1
3031,"0,31","0,31","0,04","0,02","0,07","1,13","9,8","0,09","0,06","7,74045387","409,9884608","1,8","444,0770167","4,398685036",2
3032,0,0,"0,02","0,06","0,01","0,02","16,99","0,08",0,"11,56876797","259,3733218","0,09","319,4340326","3,927980576",2
3033,"0,01","0,01","0,005670713784","0,0127738403","0,002809958887","1,57","7,01","0,009644454245","0,04282621782","7,74894457","38,51891109","1,54","98,71101836","4,101393128",1
3034,"0,94","0,94","0,26","0,2","0,11","2,02","6,06","0,04","0,02","9,05238369","293,7830399","0,05","452,9952928","3,682134341",2
3035,"0,58","0,58","0,04","0,85","0,006","1,79","2,3",0,"2,2","7,022952113","323,1990765","0,39","443,759231","3,540532004",2
3036,0,0,"0,03","0,09","0,09","0,93","16,95","0,07","0,03","7,040394956","328,759844","0,07","421,4853341","3,189942299",2
3037,0,0,"0,77","0,61","0,12","1,4","10,49","0,02","3,08","9,266840595","322,7330944","0,77","437,3485849","6,494748556",2
3038,"0,43","0,43","0,06","0,01","0,05","1,63","12,65","0,07","0,05","8,922409559","367,344534","1,87","315,5204353","4,037939155",2
3039,"0,84","0,84","0,01","0,46","0,003","1,67","11,15","0,08","3,01","6,017260924","408,5912084","0,73","510,0297248","4,206835504",2
3040,"0,65","0,65","0,76","0,3","0,02","2,32","8,61","0,02","0,03","3,730128007","359,3925667","0,27","439,6493286","3,652207496",2
3041,"0,05","0,05","0,06","0,47","0,12","1,38","12,55","0,07","0,03","6,664934584","309,7875155","0,54","367,9048021","3,771305113",2
3042,"0,31","0,31","0,01","0,06","0,03","1,1","11,01","0,04","0,1","3,923473633","400,6917743","0,33","323,7440125","3,721765769",2
3043,0,0,"0,06","0,02",0,"1,52","12,74","0,06","0,03","7,679595096","337,48361","0,08","552,8790337","4,963184434",2
3044,"0,08","0,08","0,07","0,02","0,1","1,58","4,54","0,07","0,01","7,966762553","336,2929185","0,67","493,1794166","5,364172169",2
3045,"0,22","0,22","0,04","0,02","0,09","1,37","1,87","0,01","0,07","8,189213851","368,561073","1,78","477,0629748","3,168031026",2
3046,0,0,"0,009993045287","0,0130952347","0,000945200086","0,77","10,96","0,002477841554","0,1621620956","8,175814756","16,41490136","0,02","92,05808965","2,579534352",1
3047,"0,44","0,44","0,04","0,37","0,006","1,8","3,98","0,02","0,21","9,271578533","312,9546946","1,33","434,6554586","2,877354267",2
3048,0,0,"0,64","0,46","0,12","1,88","6,61","0,02","4,58","5,646083312","350,243966","0,4","426,9859417","4,078277145",2
3049,0,0,"0,09","0,02","0,03","0,46","13,49","0,04","0,06","7,255798597","365,8123125","0,07","431,4246894","1,910116645",2
3050,0,0,"0,37","0,51","0,09","1,23","1,21","0,09","4,98","6,572656389","279,7824004","1,35","438,1321035","3,408168792",2
3051,"0,33","0,33","0,03","0,65","0,005","1,39","10,96","0,05","0,87","5,739816333","359,7105172","1,23","450,8574915","4,086867245",2
3052,"0,08","0,08","0,09","0,72","0,12","1,91","10,64","0,03","0,06","8,207458913","341,3464431","0,46","411,9833642","4,312289708",2
3053,"0,02","0,02","0,00622066949","0,0240711894","0,001851706093","1,2","1,07","0,00250193209","0,02963587297","8,394358152","21,90597542","1,41","155,4992849","4,403976021",1
3054,"0,7","0,7","0,09","0,03","0,09","1,97","0,83","0,03","0,04","9,920691059","323,9518054","1,81","415,0065756","4,31606325",2
3055,0,0,"0,004187398557","0,04754060772","0,001729050262","0,65","7,78","0,003328392161","0,1878559077","6,508389829","2,340832096","0,42","256,8497647","4,845449913",1
3056,0,0,"0,08","0,02","0,04","0,81","18,51","0,1","0,09","4,797460182","361,1131994","0,02","459,2983785","3,762741072",2
3057,0,0,"0,04","0,88","0,001","1,99","17,5","0,05","3,08","6,153368957","344,1218987","0,76","444,6127236","4,028042401",2
3058,"0,22","0,22","0,96","0,47","0,08","1,75","16,96","0,07","3,83","3,975752658","297,1386869","0,1","486,3676933","4,666916974",2
3059,0,0,"0,1","0,08","0,03","0,1","8,64","0,07","0,07","8,575673022","339,0322662","0,71","294,8760563","4,894829651",2
3060,0,0,"0,002020385735","0,0418956912","0,001296542928","0,97","9,24","0,005647737542","0,07974171882","7,231881151","18,85414645","0,01","147,0316304","3,197123971",1
3061,0,0,"0,03","0,01","0,01","1,77","18,39","0,05","0,01","7,917049443","387,0987201","0,01","365,7202915","2,883145377",2
3062,"0,75","0,75","0,79","0,89","0,13","1,26","9,33","0,09","4,84","8,801933555","335,5098302","0,95","456,4706728","2,814000683",2
3063,"0,06","0,06","0,09","0,06","0,08","1,96","7,5","0,04","0,09","6,867000691","311,2953289","1,98","397,2367839","3,88660269",2
3064,0,0,"0,0030327589","0,03161613022","0,001890156787","0,84","13,34","0,008350101078","0,1629861132","8,359046546","1,115804397","0,05","256,3911364","2,383626246",1
3065,0,0,"0,14","0,44","0,08","1,72","3,7","0,08","1,93","6,136907177","291,1972605","1,87","443,2087743","3,50837265",2
3066,"0,11","0,11","0,02","0,57","0,001","1,76","5,46","0,04","0,15","7,558076302","358,5662821","1,43","363,5063443","4,235174415",2
3067,0,0,"0,01","0,17","0,007","1,15","0,92",0,"0,93","6,784133024","304,2751246","1,78","494,0943388","4,561493819",2
3068,"0,59","0,59",0,"0,05","0,07","0,63","5,71","0,02","0,09","6,602539772","326,1254822","1,84","344,7169755","3,914511885",2
3069,0,0,"0,01","0,01","0,08","0,98","17,99","0,07","0,06","6,859323726","271,8920447","0,16","369,5912891","4,410697353",2
3070,0,0,"0,04","0,08","0,04","0,08","12,59","0,03","0,1","7,481397772","267,5611435","0,09","330,0837229","3,969463254",2
3071,"0,56","0,56","0,05","0,82","0,003","1,53","18,43","0,02","0,11","6,789820821","290,7091699","1,97","343,9724054","5,02278363",2
3072,0,0,"0,02","0,7","0,009","1,55","7,64","0,01","2,76","7,765635562","361,9029262","1,33","338,4978145","4,42513397",2
3073,"0,87","0,87","0,01","0,56","0,001","1,29","0,43","0,07","0,02","4,560916536","297,5667642","0,75","433,7096721","2,798242842",2
3074,"0,9","0,9","0,18","0,41","0,06","2,65","14,12","0,03","0,18","6,964225943","252,4664847","0,85","279,6468038","4,763578512",2
3075,0,0,"0,5","0,4","0,07","2,23","6,88","0,05","4,02","6,792407469","379,5277063","1,17","585,6795888","4,119436475",2
3076,0,0,"0,85","0,68","0,13","1,7","8,55","0,01","3,42","8,281120655","363,3087554","1,45","323,8079132","3,424760734",2
3077,"0,3","0,3","0,08","0,01","0,06","1,27","16,32","0,03","0,04","7,889579345","310,5328366","1,64","342,3556975","3,884891044",2
3078,0,0,"0,003271409733","0,01413532208","0,002078924407","0,26","2,04","0,009390081073","0,1087502571","8,320590454","18,90252733","1,03","58,61110213","3,759458171",1
3079,"0,05","0,05","0,002423798143","0,01857151543","0,002513309543","1,27","18,78","0,007203903486","0,04831350068","8,272153928","38,57043958","1,95","214,3952395","4,927290342",1
3080,"0,68","0,68","0,01","0,02","0,01","0,82","13,03","0,1","0,09","9,241338767","340,792574","1,63","495,0370675","4,536145914",2
3081,"0,43","0,43","0,1","0,05","0,01","1,98","9,33","0,07","0,05","7,803833221","303,5298176","1,33","418,6062131","3,297525234",2
3082,0,0,"0,008356569904","0,04830912497","0,00290788802","0,52","6,03","0,00479516045","0,1384165884","8,266740314","29,04959739","0,04","76,0871352","2,46497329",1
3083,"0,65","0,65","0,03","0,32","0,003","1,84","10,7","0,04","0,14","7,514835666","415,9278983","0,29","416,5966342","2,87326121",2
3084,"0,53","0,53","0,09","0,74","0,02","2,03","9,01","0,02","1,23","4,838571107","285,7447584","1,76","432,4318223","3,815227609",2
3085,"0,77","0,77","0,08","0,07","0,02","1,78","1,59","0,02","0,05","7,965337305","360,2328341","1,03","549,2767283","3,515672079",2
3086,"0,55","0,55","0,001","0,54","0,004","1,58","12,05","0,03","0,03","6,769769339","327,3799385","1,21","338,6810693","4,353238589",2
3087,0,0,"0,009515262029","0,01385542346","0,0009288173583","1,43","6,32","0,004936571504","0,1054499741","7,916922984","38,65523551","1,76","53,60195901","0,4195108364",1
3088,0,0,"0,004216760235","0,02949126812","0,001883441273","1,54","4,36","0,007508468518","0,1606168826","6,639236318","6,710685873","0,08","208,4773905","4,317294169",1
3089,0,0,"0,08","0,05",0,"0,2","3,24","0,01","0,07","7,780868679","369,6215854","0,13","567,7842757","3,699796036",2
3090,0,0,"0,04","0,06","0,06","1,44","11,21","0,04","0,03","6,320375285","475,7374602","0,07","423,963995","3,551905359",2
3091,0,0,"0,004228117787","0,01468660322","0,0006409879428",0,"6,88","0,002873804014","0,04984990031","8,01892564","10,05403697","0,26","88,52448941","0,6782514761",1
3092,0,0,"0,009738564144","0,01388811049","0,001599703112","0,86","9,3","0,009695119968","0,1326950246","7,857375183","6,746752785","0,62","283,9319316","2,980933368",1
3093,"0,26","0,26","0,04","0,06","0,09","1,08","13,48","0,05","0,04","10,84813042","373,9917105","1,75","402,6006572","5,037492216",2
3094,"0,21","0,21","0,001","0,27","0,004","1,88","4,2","0,06","4,84","5,934279093","358,3318489","1,74","476,5103845","3,0209959",2
3095,"0,61","0,61","0,01","0,39","0,003","1,1","16,37","0,09","4,07","8,927078148","373,5532353","0,55","303,9682027","3,074799306",2
3096,"0,76","0,76","0,01","0,06","0,02","1,1","9,49","0,1","0,1","8,247958056","362,4846036","0,97","285,3499428","3,685975828",2
3097,"0,87","0,87","0,09","0,02","0,03","1,61","3,22","0,02","0,03","6,848329601","337,2314685","1,72","360,9576788","3,736379595",2
3098,0,0,"0,00602811126","0,02370856617","0,001915465069","0,94","7,36","0,009454274512","0,1712419042","7,769083328","10,00918814","0,03","87,62926855","3,760179413",1
3099,0,0,"0,009894169283","0,03687961284","0,002233157802","1,13","8,14","0,008949158186","0,1981154566","6,55984503","14,30510472","0,61","71,23718916","1,874043663",1
3100,"0,33","0,33","0,03","0,07","0,09","1,69","19,44","0,06","0,06","6,71477688","298,2267188","1,54","410,1582218","4,620793452",2
3101,0,0,0,"0,01","0,05","0,23","3,09",0,"0,02","4,771490669","327,118824","1,17","500,3864689","3,163935937",2
3102,0,0,"0,07","0,05","0,06","0,3","3,81","0,03","0,1","5,934279093","367,1541839","0,06","396,2290102","4,902735486",2
3103,0,0,"0,009815831768","0,02711543889","0,000541396827","0,39","18,91","0,001228805515","0,03808889077","7,261113503","24,65933465","0,05","118,9401939","4,010183716",1
3104,0,0,"0,07","0,06","0,1","0,47","6,55","0,05","0,02","8,457901037","333,2713702","1,76","567,7222811","4,218831154",2
3105,0,0,"0,09","0,09",0,"0,48","4,36","0,04","0,04","6,903816978","290,0572188","0,51","317,5833671","3,842113986",2
3106,"0,66","0,66","0,01","0,59","0,004","1,61","8,96",0,"0,01","7,164478295","338,4294619","0,53","553,3462602","4,564188355",2
